"id","job_id","name_en","name_jp","slug","color","main","sub","emp","order","base"
"005b5b80-6c67-4d14-bafe-0237535a6566","a2cff6d3-390a-48df-b414-0c00e4da78c8","Alchemize Green Potion","錬成:キュアポーション","alchemize-green-potion",3,TRUE,FALSE,FALSE,0,FALSE
"01811568-6f37-409a-9975-4e79b1c8635f","2ea006f4-160d-494c-ab95-85b6d897f12c","Dance of Zeal","狂信演舞","dance-of-zeal",0,FALSE,FALSE,TRUE,2,FALSE
"02c9740b-458f-494c-ac0e-2aa9e3cadf24","bc88726b-9f96-4061-be1c-7a2306be238e","Aether Blast II","エーテルブラストII","aether-blast-ii",2,TRUE,FALSE,FALSE,0,FALSE
"03a7d35f-821f-44ed-be4a-da1f2c518f58","3885c629-fc2a-4298-9e51-4857f0afb2b5","Battle Scar","パイルリベレーション","battle-scar",2,TRUE,TRUE,FALSE,2,FALSE
"040943a8-1a97-4559-8cd8-9d93f70a7c49","249bae0a-c1e8-4c1f-80b5-72760b72511b","Megali Fotia","メガリフォーティア","megali-fotia",2,FALSE,FALSE,TRUE,3,FALSE
"05241c9e-2b79-4724-8d9e-83ba3f04f723","a2cff6d3-390a-48df-b414-0c00e4da78c8","Fury Capsule","鬼神の丸薬","fury-capsule",0,FALSE,FALSE,TRUE,3,FALSE
"069b2078-1c08-4dcb-a4d3-6feca0a7f99b","d27a4f29-5f0b-4bc6-b75a-1bd187e1a529","Fate Foreseen","宿命陣","fate-foreseen",0,TRUE,FALSE,FALSE,1,TRUE
"06c20c65-4f56-49dd-aa97-77bf149e192b","683ffee8-4ea2-432d-bc30-4865020ac9f4","Sacred Protection","セイクリッド・プロテクション","sacred-protection",0,FALSE,FALSE,TRUE,3,FALSE
"07c05520-0b68-428e-afc1-bfb5fa1bfa8f","3ae3a8da-a6a6-4114-acbe-7bc2bd928437","Spell Boost","スペルブースト","spell-boost",0,FALSE,FALSE,TRUE,3,FALSE
"08e5d10a-6322-41b1-9b43-b8547edfc1ab","5b06f834-5b54-4638-8934-0afa82c373e1","Stall III","ディレイIII","stall-iii",2,TRUE,FALSE,FALSE,0,FALSE
